City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Port Lincoln,59,AU,1568603062,70,-34.72,135.86,53.51,19.93
Huarmey,3,PE,1568603063,91,-10.07,-78.15,59.99,19.42
Hilo,40,US,1568602465,62,19.71,-155.08,86.0,14.99
Hami,0,CN,1568603063,12,42.84,93.51,74.03,2.46
Zhanaozen,0,KZ,1568603063,64,43.35,52.85,60.89,4.88
Eldorado,32,BR,1568603063,99,-24.52,-48.11,63.41,0.58
Pangkalanbuun,100,ID,1568603063,64,-2.68,111.62,83.39,3.31
Nanortalik,92,GL,1568603064,67,60.14,-45.24,39.11,2.26
Puerto Ayora,53,EC,1568603064,87,-0.74,-90.35,66.0,1.01
Ormara,100,PK,1568603064,26,25.21,64.64,86.45,8.7
Half Moon Bay,90,US,1568602824,88,37.46,-122.43,68.0,3.36
Sibolga,100,ID,1568603065,75,1.74,98.78,78.71,7.2
Batemans Bay,99,AU,1568603065,71,-35.71,150.18,68.0,3.0
Suhut,8,TR,1568603065,84,38.53,30.55,49.19,5.26
Marondera,0,ZW,1568603065,62,-18.19,31.55,49.55,5.82
Esperance,40,AU,1568603065,58,-33.86,121.89,59.0,12.75
Kahului,40,US,1568602461,52,20.89,-156.47,91.4,14.99
Narsaq,97,GL,1568602535,32,60.91,-46.05,37.4,17.22
Kavieng,19,PG,1568602470,78,-2.57,150.8,81.41,15.41
Bethel,75,US,1568602852,81,60.79,-161.76,53.6,14.99
Linares,0,CL,1568603066,86,-35.85,-71.6,40.55,7.94
Mahebourg,75,MU,1568603066,93,-20.41,57.7,68.0,5.82
Udachnyy,90,RU,1568603066,100,66.42,112.4,26.6,6.71
Viadana,40,IT,1568603059,88,44.93,10.52,68.0,4.7
Tahoua,0,NE,1568603067,83,14.89,5.26,77.0,4.7
Mahanoro,29,MG,1568603067,98,-19.9,48.8,62.69,1.21
Necochea,28,AR,1568602776,89,-38.55,-58.74,48.99,4.0
Hualmay,54,PE,1568603067,89,-11.1,-77.61,60.35,20.2
Ulaangom,82,MN,1568602551,37,49.98,92.07,58.37,3.96
Aquin,90,HT,1568603068,80,18.28,-73.39,81.05,4.7
Ilulissat,100,GL,1568602506,86,69.22,-51.1,33.8,6.93
Coquimbo,0,CL,1568603068,87,-29.95,-71.34,51.8,2.24
Lavrentiya,100,RU,1568603068,84,65.58,-170.99,43.43,5.95
Robertsport,100,LR,1568603068,92,6.75,-11.37,75.65,3.98
Karasjok,99,NO,1568603069,100,69.47,25.52,41.0,11.41
Port Shepstone,0,ZA,1568603069,63,-30.74,30.45,60.53,4.85
Tocopilla,71,CL,1568603069,85,-22.09,-70.2,56.57,12.21
Wattegama,90,LK,1568603069,85,7.35,80.68,74.93,4.38
Tuy Hoa,7,VN,1568603070,60,13.08,109.3,85.91,4.97
Pecos,1,US,1568603070,32,31.42,-103.49,80.6,6.93
Onega,20,RU,1568603070,88,63.91,38.09,41.09,6.64
Santa Catarina,0,BR,1568603070,85,-29.97,-50.14,67.19,3.67
Lorengau,33,PG,1568602569,70,-2.02,147.27,85.19,9.75
Byron Bay,0,AU,1568603071,53,-28.65,153.62,87.01,21.92
Central Point,90,US,1568603071,87,42.38,-122.91,60.8,4.7
Avarua,1,CK,1568602495,57,-21.21,-159.78,75.2,13.87
San Patricio,0,PY,1568603071,47,-26.98,-56.83,77.09,7.9
Petatlan,90,MX,1568603071,83,17.52,-101.27,80.6,3.36
Mahibadhoo,35,MV,1568603072,69,3.78,72.97,82.67,4.81
Sisimiut,96,GL,1568603072,82,66.94,-53.67,39.65,7.25
Carnarvon,0,ZA,1568603072,45,-30.97,22.13,50.63,1.43
Codrington,0,AU,1568603072,26,-28.95,153.24,87.01,11.41
Lebu,75,ET,1568603073,93,8.96,38.73,55.4,5.82
Waddan,0,LY,1568603073,88,29.16,16.14,61.79,1.07
Sao Felix do Xingu,1,BR,1568603073,64,-6.64,-51.99,75.65,0.87
Barquisimeto,23,VE,1568603073,85,10.07,-69.32,70.79,5.82
Tuktoyaktuk,75,CA,1568602478,86,69.44,-133.03,41.0,13.87
Lhokseumawe,100,ID,1568603074,71,5.18,97.15,80.51,3.53
Bredasdorp,29,ZA,1568603074,81,-34.53,20.04,51.01,3.36
Aklavik,20,CA,1568602816,61,68.22,-135.01,46.4,12.75
Bani Walid,78,LY,1568603074,90,31.76,14.0,63.59,3.04
Atambua,19,ID,1568603075,71,-9.11,124.89,75.47,10.47
Auki,1,NG,1568603075,91,12.18,6.51,71.51,5.84
Talnakh,40,RU,1568603075,100,69.49,88.39,26.6,4.47
Basoko,100,CD,1568603075,99,1.23,23.61,69.35,1.03
Cadereyta,20,MX,1568603075,69,25.58,-99.98,80.6,4.7
Venice,1,US,1568602876,88,27.1,-82.45,81.0,3.36
Paracuru,75,BR,1568602568,69,-3.41,-39.03,80.6,18.34
Cherskiy,79,RU,1568603076,44,68.75,161.3,57.11,4.88
Marsh Harbour,100,BS,1568603076,78,26.54,-77.06,83.57,22.88
Tiznit,1,MA,1568603076,83,29.7,-9.73,68.99,4.74
Mar del Plata,57,AR,1568603076,58,-46.43,-67.52,40.01,7.74
Mulchen,0,CL,1568603077,98,-37.72,-72.23,36.23,3.0
Axim,100,GH,1568603077,92,4.87,-2.24,76.01,8.39
Codajas,82,BR,1568603077,73,-3.84,-62.06,77.63,0.65
Caravelas,0,BR,1568603077,84,-17.73,-39.27,73.13,7.63
Honningsvag,100,NO,1568602984,92,70.98,25.97,45.59,12.44
Guerrero Negro,0,MX,1568603078,76,27.97,-114.04,72.41,11.52
Okhotsk,85,RU,1568603078,80,59.36,143.24,51.35,11.52
Imeni Poliny Osipenko,0,RU,1568603078,30,52.42,136.49,59.45,11.63
Clyde River,1,CA,1568603079,100,70.47,-68.59,28.4,0.58
Chhatapur,75,IN,1568603079,83,23.07,86.96,82.4,8.05
Innisfail,98,AU,1568603079,41,-17.52,146.03,75.0,8.99
Nyurba,83,RU,1568603079,77,63.29,118.35,38.39,3.8
Paamiut,0,GL,1568603079,45,61.99,-49.67,38.39,7.56
Kuldur,0,RU,1568603080,41,49.22,131.63,49.73,12.21
Kupino,0,RU,1568603080,64,54.36,77.31,61.07,7.58
Bulgan,0,MN,1568603080,44,48.81,103.53,52.61,15.43
Centralia,90,US,1568602959,93,46.72,-122.96,60.8,5.82
Eyl,25,SO,1568602929,81,7.98,49.82,74.03,9.89
Krasnyy Chikoy,24,RU,1568603081,48,50.36,108.75,55.49,4.56
Knysna,40,ZA,1568603081,81,-34.04,23.05,51.8,4.7
Labuhan,53,ID,1568603081,34,-2.54,115.51,94.55,2.71
Ust-Nera,100,RU,1568603081,88,64.57,143.24,38.75,3.02
Muyezerskiy,100,RU,1568603082,88,63.93,31.65,36.95,9.84
Hofn,0,IS,1568603082,66,64.25,-15.21,21.65,11.25
Cayenne,0,GF,1568603082,94,4.94,-52.33,78.8,1.12
Clyde,72,NZ,1568603083,46,-45.19,169.32,55.99,8.01
Troisdorf,0,DE,1568603083,87,50.82,7.16,61.0,2.24
Pueblo,1,US,1568603083,28,38.25,-104.61,80.6,9.17
Eufaula,1,US,1568603083,88,31.89,-85.15,79.0,2.93
Upernavik,97,GL,1568602503,74,72.79,-56.15,31.73,14.9
Tibati,100,CM,1568603084,94,6.47,12.63,67.73,2.06
Buzovna,75,AZ,1568603084,83,40.52,50.11,69.8,4.7
Mercedes,100,UY,1568603084,77,-33.25,-58.03,64.0,15.01
Salinopolis,71,BR,1568603084,81,-0.61,-47.36,80.69,16.55
Sorong,84,ID,1568603084,57,-0.86,131.25,87.71,4.36
Camacha,75,PT,1568603085,77,33.08,-16.33,69.8,5.82
Bintulu,75,MY,1568603085,83,3.17,113.03,82.4,4.7
Vila Praia de Ancora,0,PT,1568603085,88,41.81,-8.85,68.0,5.82
Dunedin,37,NZ,1568603085,59,-45.87,170.5,53.01,20.0
Mitu,24,IR,1568603086,74,36.2,46.09,53.69,1.41
Ambilobe,0,MG,1568603086,88,-13.19,49.05,65.93,5.39
La Palma,100,CO,1568603086,86,5.36,-74.39,71.87,2.24
Muros,0,ES,1568603087,82,42.77,-9.06,71.01,2.24
Do Gonbadan,0,IR,1568603087,22,30.36,50.8,75.2,4.18
Malm,75,NO,1568603088,93,64.07,11.22,54.0,25.28
Velikiy Ustyug,80,RU,1568603088,91,60.76,46.3,38.93,8.46
Hamilton,75,CA,1568602490,100,43.26,-79.87,62.6,9.17
Deputatskiy,100,RU,1568603088,99,69.3,139.9,36.77,2.42
Coxim,0,BR,1568603089,19,-18.5,-54.75,83.75,4.63
Galeana,0,MX,1568603089,73,24.83,-100.08,64.0,5.84
Beaune,0,FR,1568603089,82,47.02,4.84,60.8,2.24
Japura,100,ID,1568603089,53,-0.42,102.29,85.55,4.61
Kaitangata,100,NZ,1568603090,64,-46.28,169.85,53.01,11.01
Leh,0,IN,1568603090,30,34.16,77.58,39.29,4.03
Bambanglipuro,18,ID,1568603090,83,-7.95,110.28,74.21,11.14
Ailigandi,100,PA,1568603090,78,9.23,-78.02,81.23,8.7
Cabo San Lucas,20,MX,1568603061,61,22.89,-109.91,86.0,11.41
Gillette,1,US,1568603091,59,44.29,-105.5,69.01,8.46
Pontal do Parana,90,BR,1568603091,94,-25.67,-48.51,69.01,1.12
Srednekolymsk,100,RU,1568603091,42,67.46,153.71,60.71,5.21
Igarka,100,RU,1568602568,72,67.47,86.57,33.89,9.69
Cockburn Town,24,TC,1568603091,81,21.46,-71.14,83.57,16.28
Kamaishi,75,JP,1568603092,73,39.28,141.86,75.2,4.7
Cariamanga,0,EC,1568603092,81,-4.33,-79.56,60.17,2.3
Khanpur,100,PK,1568603092,42,28.65,70.66,92.03,13.27
Camacari,40,BR,1568603092,73,-12.7,-38.32,77.0,10.29
Shobara,75,JP,1568603092,50,34.92,133.05,86.0,10.29
Ostrovnoy,100,RU,1568603093,98,68.05,39.51,43.25,16.78
Qaanaaq,0,GL,1568602520,50,77.48,-69.36,20.57,5.99
Antalaha,7,MG,1568603093,97,-14.9,50.28,59.81,3.91
Beringovskiy,100,RU,1568603093,68,63.05,179.32,50.27,3.78
Medvedka,86,RU,1568603094,92,61.17,46.39,38.57,7.63
Soyo,99,AO,1568603048,84,-6.13,12.37,72.95,9.06
Koshurnikovo,100,RU,1568603094,98,54.3,93.39,48.29,2.66
Los Llanos de Aridane,20,ES,1568603094,78,28.66,-17.92,71.6,6.93
Sargatskoye,0,RU,1568603094,67,55.6,73.49,58.55,9.75
Mirai,0,BR,1568603095,85,-21.2,-42.61,65.21,3.49
Iqaluit,20,CA,1568603095,69,63.75,-68.52,35.6,2.24
Nalut,24,LY,1568603095,59,31.86,10.98,67.91,5.32
Ust-Tsilma,100,RU,1568603095,92,65.44,52.15,45.05,11.59
Klenovyy,0,UA,1568603096,48,48.12,39.46,52.79,7.81
Miri,46,NG,1568603096,91,10.31,9.75,70.97,2.71
Rio Gallegos,90,AR,1568603096,55,-51.62,-69.22,39.2,18.34
Mucurapo,20,TT,1568603096,83,10.67,-61.53,78.8,7.36
Khani,40,GE,1568603096,93,41.96,42.96,60.8,5.82
Sobolevo,94,RU,1568603097,87,54.43,31.9,50.63,14.23
Marsa Matruh,0,EG,1568603097,64,31.35,27.25,78.17,12.91
Svetlogorsk,90,RU,1568603097,66,53.14,59.15,53.6,11.18
Vardo,1,US,1568603097,88,39.62,-77.74,68.0,3.58
Stepnogorsk,54,KZ,1568603097,54,52.35,71.88,61.61,5.44
Henties Bay,24,NA,1568603098,91,-22.12,14.28,54.0,1.99
Gao,0,ML,1568603098,43,16.28,-0.04,89.69,11.54
Mitsamiouli,6,KM,1568603098,77,-11.38,43.28,77.27,2.1
Mirabad,88,IR,1568603098,13,28.27,61.33,69.35,5.1
Bathsheba,40,BB,1568603018,74,13.22,-59.52,84.2,16.11
Krasnyy Kut,0,RU,1568603099,40,47.1,40.67,52.61,6.46
Kavaratti,40,IN,1568602504,83,10.57,72.64,82.4,6.93
Nemuro,75,JP,1568603099,100,43.32,145.57,62.6,8.05
Aykhal,90,RU,1568603099,100,65.95,111.51,26.6,6.71
Kaeo,0,NZ,1568603099,81,-35.1,173.78,66.99,9.17
Marfino,75,RU,1568603100,93,56.07,37.56,51.8,15.66
New Norfolk,75,AU,1568603100,49,-42.78,147.06,48.2,19.46
Severo-Kurilsk,0,RU,1568603100,80,50.68,156.12,50.27,4.85
Takab,95,IR,1568603100,47,36.4,47.11,53.51,2.64
Pevek,87,RU,1568603101,82,69.7,170.27,45.05,2.08
Pangnirtung,0,CA,1568603101,58,66.15,-65.72,24.53,2.44
Kiknur,98,RU,1568603101,82,57.3,47.21,43.25,10.78
Rocha,100,UY,1568603101,97,-34.48,-54.34,55.67,3.29
Kribi,56,CM,1568603101,89,2.94,9.91,77.09,7.9
Tucumcari,1,US,1568603102,34,35.17,-103.73,78.8,10.29
Nhulunbuy,75,AU,1568603102,61,-12.18,136.78,80.6,16.11
Ciudad Bolivar,47,VE,1568603102,61,8.12,-63.55,80.87,3.91
Vila Franca do Campo,20,PT,1568603102,82,37.72,-25.43,68.0,5.82
Bakchar,50,RU,1568603103,93,57.02,82.07,54.59,6.93
Kozulka,0,UA,1568603103,81,50.04,23.8,48.2,4.47
Kungurtug,78,RU,1568603103,69,50.6,97.53,43.07,2.39
Fortuna,90,US,1568602509,93,40.6,-124.16,62.01,9.17
Cabedelo,20,BR,1568602577,94,-6.97,-34.84,71.6,4.7
Dubbo,75,AU,1568603104,5,-32.25,148.6,82.4,17.22
Omsukchan,100,RU,1568603104,74,62.53,155.8,41.09,7.11
Marienburg,0,DE,1568602530,87,52.12,9.98,57.2,5.82
Vallenar,0,CL,1568603104,78,-28.58,-70.76,45.59,0.16
Avera,1,US,1568603104,78,33.19,-82.53,80.01,3.36
Christchurch,96,NZ,1568602980,45,-43.53,172.64,68.0,11.41
Gizo,40,IL,1568603105,73,31.8,34.94,75.2,8.05
Sorland,100,NO,1568603105,74,67.67,12.69,50.81,6.29
Price,1,US,1568603006,25,39.6,-110.81,73.4,6.93
Porto Novo,0,BR,1568603105,82,-23.68,-45.44,68.0,3.36
Marzuq,100,YE,1568603106,42,14.4,46.47,79.79,1.74
Karymskoye,58,RU,1568603106,56,51.62,114.34,49.19,10.04
Moctezuma,20,MX,1568603106,75,29.81,-109.68,70.79,1.07
Amantea,0,IT,1568603106,88,39.13,16.07,64.99,6.93
Necocli,100,CO,1568603106,84,8.42,-76.79,80.69,14.9
Mount Gambier,40,AU,1568603107,62,-37.83,140.78,53.6,20.8
Chilakalurupet,97,IN,1568603107,69,16.09,80.17,84.83,8.57
Kiruna,53,SE,1568602836,92,67.86,20.23,30.2,2.24
Naryan-Mar,100,RU,1568603107,91,67.67,53.09,44.87,17.56
Canon City,1,US,1568603108,18,39.46,-117.13,60.8,3.36
Isangel,20,VU,1568602519,53,-19.55,169.27,77.0,9.17
Tarakan,72,ID,1568603108,75,3.3,117.63,82.85,4.09
Georgetown,40,GY,1568603108,94,6.8,-58.16,78.8,4.7
Yaring,20,TH,1568603109,78,6.87,101.37,82.4,8.05
Tymovskoye,80,RU,1568603109,41,50.85,142.66,68.09,12.1
Nantucket,1,US,1568603109,93,41.28,-70.1,66.2,8.05
Yenagoa,95,NG,1568603109,95,4.92,6.26,74.93,3.31
Margate,75,AU,1568603110,49,-43.03,147.26,48.2,19.46
Belmonte,11,PT,1568603110,74,40.36,-7.35,70.0,0.65
Alyangula,99,AU,1568603110,51,-13.85,136.42,82.4,11.41
Navolato,75,MX,1568603110,79,24.76,-107.7,84.99,5.82
Saint-Leu,0,RE,1568603110,56,-21.15,55.28,68.0,8.05
Nagorsk,6,RU,1568603111,96,59.32,50.8,37.67,7.52
Chadan,20,RU,1568603111,52,51.29,91.58,52.43,2.39
Betafo,0,MG,1568603111,73,-19.84,46.86,57.29,4.34
Turukhansk,100,RU,1568603111,73,65.8,87.96,32.81,9.04
Havoysund,75,NO,1568603112,93,71.0,24.66,39.2,11.41
Nuuk,0,GL,1568603112,79,64.17,-51.74,35.6,8.05
Ahuimanu,75,US,1568603112,70,21.44,-157.84,89.6,11.41
Sopelana,20,ES,1568603113,100,43.38,-2.98,66.99,4.85
Alugan,68,PH,1568603113,60,12.22,125.48,88.43,9.8
Villamontes,0,BO,1568603113,42,-21.26,-63.47,77.45,2.04
Bilibino,6,RU,1568603113,47,68.06,166.44,51.71,1.39
Turayf,0,SA,1568603114,68,31.68,38.65,66.2,8.05
Lucea,20,JM,1568603114,74,18.44,-78.17,84.2,3.36
Manacapuru,0,BR,1568603086,83,-3.3,-60.62,77.0,1.7
Campo Grande,0,BR,1568602941,30,-20.46,-54.62,82.4,6.93
Mount Isa,100,AU,1568603114,15,-20.73,139.49,87.8,11.41
Petropavlovsk-Kamchatskiy,0,RU,1568603115,36,53.05,158.65,64.4,6.71
Hervey Bay,0,AU,1568603115,44,-25.3,152.85,77.0,12.75
Harduaganj,58,IN,1568603115,73,27.95,78.17,84.47,3.62
Wembley,75,CA,1568603115,93,55.15,-119.14,50.0,3.36
Mareeba,40,AU,1568603116,37,-16.99,145.42,84.99,11.41
Batagay-Alyta,100,RU,1568603116,62,67.8,130.41,33.53,2.37
Fairbanks,90,US,1568602909,42,64.84,-147.72,64.4,4.7
Rudnogorsk,100,RU,1568603116,83,57.27,103.75,34.97,8.93
Hobyo,22,SO,1568603116,86,5.35,48.53,76.37,14.14
Luderitz,0,NA,1568603117,64,-26.65,15.16,58.01,18.95
Zalantun,0,CN,1568603117,28,48.0,122.72,60.17,10.74
Itarema,19,BR,1568603117,80,-2.92,-39.92,76.37,10.09
Aberdeen,1,US,1568603117,77,46.98,-123.82,62.6,11.41
Funehiki,75,JP,1568603118,100,37.43,140.58,75.0,12.75
San Cristobal,51,HN,1568603118,93,14.68,-86.92,67.73,6.4
Pisco,0,PE,1568603118,87,-13.71,-76.2,62.01,13.87
Kuala Terengganu,75,MY,1568603017,94,5.33,103.14,78.8,3.36
Jos,98,NG,1568603118,94,9.92,8.9,68.99,1.5
Trairi,66,BR,1568603119,82,-3.28,-39.27,74.57,9.46
Keti Bandar,100,PK,1568603119,81,24.14,67.45,82.67,22.03
Letnyaya Stavka,0,RU,1568603119,61,45.43,43.44,53.33,3.29
Kindu,99,CD,1568603119,96,-2.95,25.92,69.71,2.21
Bilma,0,NE,1568603120,21,18.69,12.92,84.11,15.01
Sylacauga,1,US,1568603120,78,33.17,-86.25,80.6,1.19
Glace Bay,75,CA,1568603020,100,46.2,-59.96,59.0,8.05
Ossora,100,RU,1568603120,61,59.24,163.07,50.81,2.82
High Prairie,100,CA,1568603121,98,55.43,-116.48,50.45,4.27
Torbay,90,CA,1568602553,100,47.66,-52.73,57.99,17.22
Poronaysk,0,RU,1568603121,60,49.22,143.1,66.29,16.28
Linqing,0,CN,1568603121,55,36.85,115.71,77.81,1.77
Novo Aripuana,51,BR,1568603121,68,-5.12,-60.38,78.53,1.45
Ciudad Guayana,59,VE,1568603122,75,8.32,-62.69,82.0,3.0
Bozeman,1,US,1568603122,18,45.68,-111.04,77.0,20.8
Erzin,0,TR,1568603122,77,36.95,36.2,77.0,6.93
Araouane,29,ML,1568603122,15,18.9,-3.53,97.97,6.2
